Epoch 1/50 Train loss=2.1285, acc=0.1960 Val loss=1.9423, acc=0.2799 lr=0.01000
Epoch 2/50 Train loss=1.9558, acc=0.2707 Val loss=1.8596, acc=0.3126 lr=0.01000
Epoch 3/50 Train loss=1.8944, acc=0.2982 Val loss=1.7969, acc=0.3362 lr=0.01000
Epoch 4/50 Train loss=1.8556, acc=0.3152 Val loss=1.7687, acc=0.3490 lr=0.01000
Epoch 5/50 Train loss=1.8307, acc=0.3252 Val loss=1.7478, acc=0.3584 lr=0.01000
Epoch 6/50 Train loss=1.8085, acc=0.3350 Val loss=1.7157, acc=0.3726 lr=0.01000
Epoch 7/50 Train loss=1.7941, acc=0.3412 Val loss=1.6980, acc=0.3785 lr=0.01000
Epoch 8/50 Train loss=1.7755, acc=0.3507 Val loss=1.7018, acc=0.3759 lr=0.01000
Epoch 9/50 Train loss=1.7653, acc=0.3539 Val loss=1.6690, acc=0.3916 lr=0.01000
Epoch 10/50 Train loss=1.7563, acc=0.3576 Val loss=1.6625, acc=0.3930 lr=0.00500
Epoch 11/50 Train loss=1.7255, acc=0.3701 Val loss=1.6377, acc=0.4032 lr=0.00500
Epoch 12/50 Train loss=1.7135, acc=0.3745 Val loss=1.6319, acc=0.4068 lr=0.00500
Epoch 13/50 Train loss=1.7044, acc=0.3786 Val loss=1.6266, acc=0.4090 lr=0.00500
Epoch 14/50 Train loss=1.6988, acc=0.3799 Val loss=1.6237, acc=0.4087 lr=0.00500
Epoch 15/50 Train loss=1.6915, acc=0.3842 Val loss=1.6102, acc=0.4144 lr=0.00500
Epoch 16/50 Train loss=1.6871, acc=0.3866 Val loss=1.6156, acc=0.4125 lr=0.00500
Epoch 17/50 Train loss=1.6846, acc=0.3859 Val loss=1.6014, acc=0.4156 lr=0.00500
Epoch 18/50 Train loss=1.6808, acc=0.3876 Val loss=1.5959, acc=0.4207 lr=0.00500
Epoch 19/50 Train loss=1.6757, acc=0.3899 Val loss=1.6013, acc=0.4211 lr=0.00500
Epoch 20/50 Train loss=1.6692, acc=0.3922 Val loss=1.5911, acc=0.4228 lr=0.00250
Epoch 21/50 Train loss=1.6563, acc=0.3982 Val loss=1.5821, acc=0.4269 lr=0.00250
Epoch 22/50 Train loss=1.6434, acc=0.4029 Val loss=1.5751, acc=0.4282 lr=0.00250
Epoch 23/50 Train loss=1.6418, acc=0.4033 Val loss=1.5742, acc=0.4285 lr=0.00250
Epoch 24/50 Train loss=1.6392, acc=0.4034 Val loss=1.5734, acc=0.4292 lr=0.00250
Epoch 25/50 Train loss=1.6362, acc=0.4072 Val loss=1.5691, acc=0.4296 lr=0.00250
Epoch 26/50 Train loss=1.6298, acc=0.4073 Val loss=1.5652, acc=0.4330 lr=0.00250
Epoch 27/50 Train loss=1.6291, acc=0.4093 Val loss=1.5608, acc=0.4339 lr=0.00250
Epoch 28/50 Train loss=1.6274, acc=0.4090 Val loss=1.5564, acc=0.4347 lr=0.00250
Epoch 29/50 Train loss=1.6283, acc=0.4080 Val loss=1.5559, acc=0.4343 lr=0.00250
Epoch 30/50 Train loss=1.6221, acc=0.4118 Val loss=1.5490, acc=0.4388 lr=0.00125
Epoch 31/50 Train loss=1.6143, acc=0.4149 Val loss=1.5493, acc=0.4385 lr=0.00125
Epoch 32/50 Train loss=1.6082, acc=0.4140 Val loss=1.5474, acc=0.4400 lr=0.00125
Epoch 33/50 Train loss=1.6046, acc=0.4179 Val loss=1.5456, acc=0.4407 lr=0.00125
